UsageId,AccountId,SubscriptionId,Month,Seats,MAU,MAURatio,Sessions,FeatureAdoptionRate
U0000050,A00019,SUB00006,2025-11-01,10,5,0.589,46,0.83
U0000051,A00019,SUB00006,2025-12-01,10,6,0.604,87,0.55
U0000052,A00019,SUB00006,2026-01-01,10,6,0.619,209,0.44
U0000053,A00019,SUB00006,2026-02-01,10,6,0.634,128,0.75
U0000054,A00019,SUB00006,2026-03-01,10,6,0.649,119,0.79
U0000055,A00019,SUB00006,2026-04-01,10,6,0.664,199,0.87
U0000056,A00019,SUB00006,2026-05-01,10,6,0.679,73,0.41
U0000057,A00020,SUB00007,2025-06-01,100,85,0.853,1595,0.6
U0000058,A00020,SUB00007,2025-07-01,100,83,0.831,2603,0.65
U0000059,A00020,SUB00007,2025-08-01,100,81,0.818,2582,0.24
U0000060,A00020,SUB00007,2025-09-01,100,89,0.897,1317,0.49
U0000061,A00020,SUB00007,2025-10-01,100,85,0.857,2119,0.35
U0000062,A00020,SUB00007,2025-11-01,100,88,0.884,2989,0.61
U0000063,A00020,SUB00007,2025-12-01,100,88,0.881,1544,0.68
U0000064,A00020,SUB00007,2026-01-01,100,82,0.829,2397,0.37
U0000065,A00020,SUB00007,2026-02-01,100,84,0.846,900,0.68
U0000066,A00020,SUB00007,2026-03-01,100,83,0.835,1671,0.79
U0000067,A00020,SUB00007,2026-04-01,100,82,0.829,1194,0.48
U0000068,A00020,SUB00007,2026-05-01,100,86,0.862,1711,0.87
U0000069,A00022,SUB00008,2025-06-01,5,3,0.753,71,0.27
U0000070,A00022,SUB00008,2025-07-01,5,3,0.724,52,0.62
U0000071,A00022,SUB00008,2025-08-01,5,3,0.7,34,0.65
U0000072,A00022,SUB00008,2025-09-01,5,3,0.74,65,0.37
U0000073,A00022,SUB00008,2025-10-01,5,3,0.761,73,0.22
U0000074,A00022,SUB00008,2025-11-01,5,3,0.733,40,0.65
U0000075,A00022,SUB00008,2025-12-01,5,3,0.725,49,0.41
U0000076,A00022,SUB00008,2026-01-01,5,3,0.683,41,0.66
U0000077,A00022,SUB00008,2026-02-01,5,3,0.743,49,0.79
U0000078,A00022,SUB00008,2026-03-01,5,3,0.711,81,0.64
U0000079,A00022,SUB00008,2026-04-01,5,3,0.696,47,0.47
U0000080,A00022,SUB00008,2026-05-01,5,3,0.731,81,0.78
U0000081,A00025,SUB00009,2025-06-01,10,4,0.436,67,0.67
U0000082,A00025,SUB00009,2025-07-01,10,4,0.419,38,0.67
U0000083,A00025,SUB00009,2025-08-01,10,3,0.356,90,0.9
U0000084,A00025,SUB00009,2025-09-01,10,4,0.446,48,0.29
U0000085,A00025,SUB00009,2025-10-01,10,3,0.353,63,0.54
U0000086,A00025,SUB00009,2025-11-01,10,4,0.429,76,0.74
U0000087,A00025,SUB00009,2025-12-01,10,4,0.408,119,0.57
U0000088,A00025,SUB00009,2026-01-01,10,4,0.446,59,0.21
U0000089,A00025,SUB00009,2026-02-01,10,3,0.357,63,0.5
U0000090,A00025,SUB00009,2026-03-01,10,4,0.426,50,0.49
U0000091,A00025,SUB00009,2026-04-01,10,4,0.407,135,0.73
U0000092,A00025,SUB00009,2026-05-01,10,4,0.418,68,0.86
U0000093,A00026,SUB00010,2025-12-01,20,15,0.764,263,0.88
U0000094,A00026,SUB00010,2026-01-01,20,14,0.725,296,0.67
U0000095,A00026,SUB00010,2026-02-01,20,14,0.72,253,0.68
U0000096,A00026,SUB00010,2026-03-01,20,14,0.704,371,0.46
U0000097,A00026,SUB00010,2026-04-01,20,15,0.753,271,0.45
U0000098,A00026,SUB00010,2026-05-01,20,15,0.759,440,0.81
U0000099,A00033,SUB00011,2025-06-01,20,10,0.503,156,0.68
U0000100,A00033,SUB00011,2025-07-01,20,9,0.482,166,0.49
U0000101,A00033,SUB00011,2025-08-01,20,9,0.482,286,0.3
U0000102,A00033,SUB00011,2025-09-01,20,8,0.448,204,0.58
U0000103,A00033,SUB00011,2025-10-01,20,9,0.464,195,0.48
U0000104,A00033,SUB00011,2025-11-01,20,8,0.426,186,0.65
U0000105,A00033,SUB00011,2025-12-01,20,8,0.431,183,0.38
U0000106,A00033,SUB00011,2026-01-01,20,8,0.435,128,0.67
U0000107,A00033,SUB00011,2026-02-01,20,9,0.466,182,0.34
U0000108,A00033,SUB00011,2026-03-01,20,9,0.453,116,0.45
U0000109,A00034,SUB00012,2025-06-01,50,22,0.458,581,0.61
U0000110,A00034,SUB00012,2025-07-01,50,24,0.488,699,0.89
U0000111,A00034,SUB00012,2025-08-01,50,21,0.436,375,0.21
U0000112,A00034,SUB00012,2025-09-01,50,24,0.498,722,0.56
U0000113,A00034,SUB00012,2025-10-01,50,21,0.429,560,0.7
U0000114,A00034,SUB00012,2025-11-01,50,24,0.491,310,0.86
U0000115,A00034,SUB00012,2025-12-01,50,23,0.479,270,0.46
U0000116,A00034,SUB00012,2026-01-01,50,22,0.441,342,0.48
U0000117,A00034,SUB00012,2026-02-01,50,22,0.441,754,0.78
U0000118,A00034,SUB00012,2026-03-01,50,22,0.454,307,0.54
U0000119,A00034,SUB00012,2026-04-01,50,20,0.415,610,0.44
U0000120,A00034,SUB00012,2026-05-01,50,22,0.443,760,0.31
U0000121,A00037,SUB00013,2025-06-01,500,360,0.721,12436,0.36
U0000122,A00037,SUB00013,2025-07-01,500,367,0.736,8427,0.51
U0000123,A00037,SUB00013,2025-08-01,500,375,0.751,7408,0.84
U0000124,A00037,SUB00013,2025-09-01,500,382,0.766,11608,0.53
U0000125,A00037,SUB00013,2025-10-01,500,390,0.781,3857,0.75
U0000126,A00037,SUB00013,2025-11-01,500,397,0.796,4376,0.59
U0000127,A00037,SUB00013,2025-12-01,500,405,0.811,4665,0.25
U0000128,A00037,SUB00013,2026-01-01,500,412,0.826,6789,0.56
U0000129,A00037,SUB00013,2026-02-01,500,420,0.841,3931,0.68
U0000130,A00037,SUB00013,2026-03-01,500,427,0.856,11875,0.71
U0000131,A00037,SUB00013,2026-04-01,500,435,0.871,7682,0.5
U0000132,A00037,SUB00013,2026-05-01,500,442,0.886,8077,0.88
U0000133,A00040,SUB00014,2025-06-01,50,30,0.603,964,0.24
U0000134,A00040,SUB00014,2025-07-01,50,30,0.618,540,0.76
U0000135,A00040,SUB00014,2025-08-01,50,31,0.633,276,0.87
U0000136,A00040,SUB00014,2025-09-01,50,32,0.648,1119,0.43
U0000137,A00040,SUB00014,2025-10-01,50,33,0.663,488,0.36
U0000138,A00040,SUB00014,2025-11-01,50,33,0.678,1075,0.82
U0000139,A00040,SUB00014,2025-12-01,50,34,0.693,726,0.84
U0000140,A00040,SUB00014,2026-01-01,50,35,0.708,476,0.49
U0000141,A00040,SUB00014,2026-02-01,50,36,0.723,862,0.63
U0000142,A00040,SUB00014,2026-03-01,50,36,0.738,395,0.77
U0000143,A00040,SUB00014,2026-04-01,50,37,0.753,548,0.34
U0000144,A00040,SUB00014,2026-05-01,50,38,0.768,1056,0.62
U0000145,A00041,SUB00015,2025-06-01,10,6,0.644,198,0.46
U0000146,A00041,SUB00015,2025-07-01,10,6,0.605,57,0.4
U0000147,A00041,SUB00015,2025-08-01,10,6,0.637,204,0.27
U0000148,A00041,SUB00015,2025-09-01,10,6,0.625,203,0.76
U0000149,A00041,SUB00015,2025-10-01,10,6,0.649,198,0.26
U0000150,A00041,SUB00015,2025-11-01,10,6,0.656,186,0.41
U0000151,A00041,SUB00015,2025-12-01,10,5,0.591,42,0.89
U0000152,A00041,SUB00015,2026-01-01,10,6,0.674,62,0.87
U0000153,A00041,SUB00015,2026-02-01,10,6,0.65,70,0.86
U0000154,A00041,SUB00015,2026-03-01,10,5,0.59,152,0.31
U0000155,A00041,SUB00015,2026-04-01,10,6,0.638,85,0.56
U0000156,A00042,SUB00016,2025-06-01,20,15,0.792,383,0.39
U0000157,A00042,SUB00016,2025-07-01,20,15,0.767,350,0.57
U0000158,A00042,SUB00016,2025-08-01,20,14,0.742,239,0.46
U0000159,A00042,SUB00016,2025-09-01,20,14,0.717,242,0.25
U0000160,A00042,SUB00016,2025-10-01,20,13,0.692,110,0.26
U0000161,A00042,SUB00016,2025-11-01,20,13,0.667,160,0.49
U0000162,A00042,SUB00016,2025-12-01,20,12,0.642,249,0.25
U0000163,A00042,SUB00016,2026-01-01,20,12,0.617,240,0.26
U0000164,A00042,SUB00016,2026-02-01,20,11,0.592,134,0.86
U0000165,A00042,SUB00016,2026-03-01,20,11,0.567,110,0.23
U0000166,A00042,SUB00016,2026-04-01,20,10,0.542,247,0.46
U0000167,A00042,SUB00016,2026-05-01,20,10,0.517,177,0.54
U0000168,A00043,SUB00017,2025-06-01,5,3,0.696,29,0.32
U0000169,A00043,SUB00017,2025-07-01,5,3,0.711,85,0.59
U0000170,A00043,SUB00017,2025-08-01,5,3,0.726,63,0.27
U0000171,A00043,SUB00017,2025-09-01,5,3,0.741,40,0.6
U0000172,A00043,SUB00017,2025-10-01,5,3,0.756,57,0.69
U0000173,A00043,SUB00017,2025-11-01,5,3,0.771,34,0.29
U0000174,A00043,SUB00017,2025-12-01,5,3,0.786,50,0.35
U0000175,A00043,SUB00017,2026-01-01,5,4,0.801,49,0.88
U0000176,A00043,SUB00017,2026-02-01,5,4,0.816,91,0.36
U0000177,A00043,SUB00017,2026-03-01,5,4,0.831,98,0.64
U0000178,A00043,SUB00017,2026-04-01,5,4,0.846,115,0.68
U0000179,A00043,SUB00017,2026-05-01,5,4,0.861,121,0.35
U0000180,A00048,SUB00018,2025-09-01,20,15,0.751,502,0.68
U0000181,A00048,SUB00018,2025-10-01,20,15,0.766,360,0.86
U0000182,A00048,SUB00018,2025-11-01,20,15,0.781,304,0.69
U0000183,A00048,SUB00018,2025-12-01,20,15,0.796,224,0.74
U0000184,A00048,SUB00018,2026-01-01,20,16,0.811,387,0.86
U0000185,A00048,SUB00018,2026-02-01,20,16,0.826,336,0.35
U0000186,A00048,SUB00018,2026-03-01,20,16,0.841,193,0.56
U0000187,A00048,SUB00018,2026-04-01,20,17,0.856,573,0.21
U0000188,A00048,SUB00018,2026-05-01,20,17,0.871,507,0.49
U0000189,A00052,SUB00019,2025-06-01,10,5,0.551,155,0.34
U0000190,A00052,SUB00019,2025-07-01,10,8,0.859,70,0.66
U0000191,A00052,SUB00019,2025-08-01,10,5,0.585,57,0.63
U0000192,A00052,SUB00019,2025-09-01,10,6,0.645,189,0.48
U0000193,A00052,SUB00019,2025-10-01,10,7,0.757,214,0.35
U0000194,A00052,SUB00019,2025-11-01,10,7,0.759,201,0.25
U0000195,A00052,SUB00019,2025-12-01,10,7,0.754,94,0.32
U0000196,A00052,SUB00019,2026-01-01,10,5,0.555,117,0.24
U0000197,A00052,SUB00019,2026-02-01,10,7,0.785,148,0.6
U0000198,A00052,SUB00019,2026-03-01,10,8,0.87,189,0.74
U0000199,A00052,SUB00019,2026-04-01,10,7,0.782,88,0.89
U0000200,A00052,SUB00019,2026-05-01,10,6,0.641,141,0.5
U0000201,A00053,SUB00020,2025-06-01,250,188,0.753,3914,0.37
U0000202,A00053,SUB00020,2025-07-01,250,192,0.768,6082,0.24
U0000203,A00053,SUB00020,2025-08-01,250,195,0.783,2140,0.88
U0000204,A00053,SUB00020,2025-09-01,250,199,0.798,2161,0.25
U0000205,A00053,SUB00020,2025-10-01,250,203,0.813,2587,0.6
U0000206,A00053,SUB00020,2025-11-01,250,207,0.828,3506,0.44
U0000207,A00053,SUB00020,2025-12-01,250,210,0.843,5979,0.77
U0000208,A00053,SUB00020,2026-01-01,250,214,0.858,4621,0.79
U0000209,A00053,SUB00020,2026-02-01,250,218,0.873,3401,0.45
U0000210,A00053,SUB00020,2026-03-01,250,222,0.888,3930,0.33
U0000211,A00053,SUB00020,2026-04-01,250,225,0.903,5722,0.85
U0000212,A00053,SUB00020,2026-05-01,250,229,0.918,7926,0.26
U0000213,A00058,SUB00021,2025-06-01,50,41,0.829,735,0.8
U0000214,A00058,SUB00021,2025-07-01,50,42,0.844,1128,0.44
U0000215,A00058,SUB00021,2025-08-01,50,42,0.859,430,0.64
U0000216,A00058,SUB00021,2025-09-01,50,43,0.874,557,0.39
U0000217,A00058,SUB00021,2025-10-01,50,44,0.889,1057,0.44
U0000218,A00058,SUB00021,2025-11-01,50,45,0.904,1109,0.84
U0000219,A00058,SUB00021,2025-12-01,50,45,0.919,878,0.56
U0000220,A00058,SUB00021,2026-01-01,50,46,0.934,1288,0.87
U0000221,A00058,SUB00021,2026-02-01,50,47,0.949,1214,0.59
U0000222,A00058,SUB00021,2026-03-01,50,48,0.964,800,0.3
U0000223,A00058,SUB00021,2026-04-01,50,48,0.979,1060,0.69
U0000224,A00058,SUB00021,2026-05-01,50,49,0.98,1600,0.66
U0000225,A00060,SUB00022,2025-06-01,5,2,0.426,47,0.73
U0000226,A00060,SUB00022,2025-07-01,5,2,0.442,28,0.28
U0000227,A00060,SUB00022,2025-08-01,5,2,0.478,30,0.41
U0000228,A00060,SUB00022,2025-09-01,5,2,0.433,68,0.39
U0000229,A00060,SUB00022,2025-10-01,5,2,0.421,63,0.82
U0000230,A00060,SUB00022,2025-11-01,5,2,0.405,53,0.38
U0000231,A00060,SUB00022,2025-12-01,5,1,0.393,29,0.25
U0000232,A00060,SUB00022,2026-01-01,5,2,0.465,33,0.22
U0000233,A00060,SUB00022,2026-02-01,5,2,0.435,28,0.89
U0000234,A00060,SUB00022,2026-03-01,5,2,0.452,55,0.67
U0000235,A00060,SUB00022,2026-04-01,5,1,0.388,19,0.72
U0000236,A00060,SUB00022,2026-05-01,5,1,0.39,23,0.63
U0000237,A00063,SUB00023,2025-06-01,100,38,0.386,1030,0.75
U0000238,A00063,SUB00023,2025-07-01,100,40,0.401,872,0.78
U0000239,A00063,SUB00023,2025-08-01,100,41,0.416,1109,0.25
U0000240,A00063,SUB00023,2025-09-01,100,43,0.431,883,0.73
U0000241,A00063,SUB00023,2025-10-01,100,44,0.446,963,0.86
U0000242,A00063,SUB00023,2025-11-01,100,46,0.461,467,0.82
U0000243,A00063,SUB00023,2025-12-01,100,47,0.476,555,0.53
U0000244,A00063,SUB00023,2026-01-01,100,49,0.491,1331,0.66
U0000245,A00063,SUB00023,2026-02-01,100,50,0.506,1033,0.37
U0000246,A00063,SUB00023,2026-03-01,100,52,0.521,1168,0.6
U0000247,A00063,SUB00023,2026-04-01,100,53,0.536,555,0.89
U0000248,A00063,SUB00023,2026-05-01,100,55,0.551,728,0.68
U0000249,A00064,SUB00024,2025-06-01,10,5,0.526,118,0.66
U0000250,A00064,SUB00024,2025-07-01,10,4,0.473,60,0.28
U0000251,A00064,SUB00024,2025-08-01,10,5,0.504,168,0.23
U0000252,A00064,SUB00024,2025-09-01,10,4,0.473,75,0.61
U0000253,A00064,SUB00024,2025-10-01,10,5,0.521,156,0.88
U0000254,A00064,SUB00024,2025-11-01,10,5,0.509,141,0.88
U0000255,A00064,SUB00024,2025-12-01,10,5,0.54,139,0.83
U0000256,A00064,SUB00024,2026-01-01,10,4,0.477,75,0.69
U0000257,A00064,SUB00024,2026-02-01,10,4,0.5,94,0.51
U0000258,A00064,SUB00024,2026-03-01,10,5,0.546,101,0.6
U0000259,A00064,SUB00024,2026-04-01,10,4,0.454,88,0.57
U0000260,A00064,SUB00024,2026-05-01,10,4,0.451,84,0.45
U0000261,A00065,SUB00025,2025-06-01,10,4,0.401,132,0.58
U0000262,A00065,SUB00025,2025-07-01,10,4,0.416,128,0.84
U0000263,A00065,SUB00025,2025-08-01,10,4,0.431,139,0.78
U0000264,A00065,SUB00025,2025-09-01,10,4,0.446,69,0.28
U0000265,A00065,SUB00025,2025-10-01,10,4,0.461,99,0.41
U0000266,A00065,SUB00025,2025-11-01,10,4,0.476,68,0.36
U0000267,A00065,SUB00025,2025-12-01,10,4,0.491,95,0.69
U0000268,A00065,SUB00025,2026-01-01,10,5,0.506,41,0.52
U0000269,A00065,SUB00025,2026-02-01,10,5,0.521,124,0.51
U0000270,A00065,SUB00025,2026-03-01,10,5,0.536,83,0.47
U0000271,A00065,SUB00025,2026-04-01,10,5,0.551,75,0.64
U0000272,A00065,SUB00025,2026-05-01,10,5,0.566,90,0.53
U0000273,A00066,SUB00026,2025-06-01,20,3,0.193,66,0.7
U0000274,A00066,SUB00026,2025-07-01,20,9,0.488,228,0.24
U0000275,A00066,SUB00026,2025-08-01,20,2,0.129,30,0.29
U0000276,A00066,SUB00026,2025-09-01,20,3,0.16,64,0.59
U0000277,A00066,SUB00026,2025-10-01,20,5,0.255,92,0.27
U0000278,A00066,SUB00026,2025-11-01,20,3,0.152,30,0.31
U0000279,A00066,SUB00026,2025-12-01,20,7,0.378,86,0.67
U0000280,A00066,SUB00026,2026-01-01,20,6,0.313,81,0.47
U0000281,A00066,SUB00026,2026-02-01,20,2,0.115,47,0.65
U0000282,A00066,SUB00026,2026-03-01,20,8,0.403,217,0.21
U0000283,A00066,SUB00026,2026-04-01,20,9,0.468,137,0.41
U0000284,A00066,SUB00026,2026-05-01,20,2,0.114,49,0.82
U0000285,A00068,SUB00027,2025-06-01,250,181,0.727,4132,0.3
U0000286,A00068,SUB00027,2025-07-01,250,185,0.742,6145,0.7
U0000287,A00068,SUB00027,2025-08-01,250,189,0.757,3154,0.75
U0000288,A00068,SUB00027,2025-09-01,250,193,0.772,2099,0.59
U0000289,A00068,SUB00027,2025-10-01,250,196,0.787,3665,0.52
U0000290,A00068,SUB00027,2025-11-01,250,200,0.802,6182,0.81
U0000291,A00068,SUB00027,2025-12-01,250,204,0.817,5554,0.45
U0000292,A00068,SUB00027,2026-01-01,250,208,0.832,5781,0.25
U0000293,A00068,SUB00027,2026-02-01,250,211,0.847,3699,0.77
U0000294,A00068,SUB00027,2026-03-01,250,215,0.862,3874,0.66
U0000295,A00068,SUB00027,2026-04-01,250,219,0.877,3913,0.44
U0000296,A00068,SUB00027,2026-05-01,250,223,0.892,4541,0.26
U0000297,A00080,SUB00028,2025-06-01,250,107,0.432,2283,0.61
U0000298,A00080,SUB00028,2025-07-01,250,101,0.407,1717,0.78
U0000299,A00080,SUB00028,2025-08-01,250,95,0.382,1219,0.51
U0000300,A00080,SUB00028,2025-09-01,250,89,0.357,1971,0.36
U0000301,A00080,SUB00028,2025-10-01,250,82,0.332,1536,0.81
U0000302,A00080,SUB00028,2025-11-01,250,76,0.307,887,0.53
U0000303,A00080,SUB00028,2025-12-01,250,70,0.282,1598,0.67
U0000304,A00080,SUB00028,2026-01-01,250,64,0.257,995,0.88
U0000305,A00080,SUB00028,2026-02-01,250,57,0.232,1546,0.5
U0000306,A00080,SUB00028,2026-03-01,250,51,0.207,1335,0.27
U0000307,A00080,SUB00028,2026-04-01,250,45,0.182,1106,0.79
U0000308,A00080,SUB00028,2026-05-01,250,39,0.157,952,0.69
U0000309,A00084,SUB00029,2025-06-01,10,6,0.609,101,0.26
U0000310,A00084,SUB00029,2025-07-01,10,6,0.624,49,0.49
U0000311,A00084,SUB00029,2025-08-01,10,6,0.639,69,0.29
U0000312,A00084,SUB00029,2025-09-01,10,6,0.654,121,0.57
U0000313,A00084,SUB00029,2025-10-01,10,6,0.669,145,0.47
U0000314,A00084,SUB00029,2025-11-01,10,6,0.684,72,0.32
U0000315,A00084,SUB00029,2025-12-01,10,6,0.699,169,0.3
U0000316,A00084,SUB00029,2026-01-01,10,7,0.714,107,0.7
U0000317,A00084,SUB00029,2026-02-01,10,7,0.729,188,0.3
U0000318,A00084,SUB00029,2026-03-01,10,7,0.744,193,0.76
U0000319,A00084,SUB00029,2026-04-01,10,7,0.759,109,0.34
U0000320,A00084,SUB00029,2026-05-01,10,7,0.774,58,0.6
U0000321,A00085,SUB00030,2025-06-01,20,16,0.803,376,0.8
U0000322,A00085,SUB00030,2025-07-01,20,16,0.818,367,0.67
U0000323,A00085,SUB00030,2025-08-01,20,16,0.833,553,0.66
U0000324,A00085,SUB00030,2025-09-01,20,16,0.848,318,0.82
U0000325,A00085,SUB00030,2025-10-01,20,17,0.863,212,0.84
U0000326,A00085,SUB00030,2025-11-01,20,17,0.878,515,0.69
U0000327,A00085,SUB00030,2025-12-01,20,17,0.893,371,0.49
U0000328,A00085,SUB00030,2026-01-01,20,18,0.908,567,0.52
U0000329,A00085,SUB00030,2026-02-01,20,18,0.923,270,0.82
U0000330,A00085,SUB00030,2026-03-01,20,18,0.938,620,0.72
U0000331,A00085,SUB00030,2026-04-01,20,19,0.953,282,0.59
U0000332,A00085,SUB00030,2026-05-01,20,19,0.968,576,0.85
U0000333,A00089,SUB00031,2025-09-01,500,295,0.591,2542,0.61
U0000334,A00089,SUB00031,2025-10-01,500,283,0.566,8173,0.36
U0000335,A00089,SUB00031,2025-11-01,500,270,0.541,7845,0.38
U0000336,A00089,SUB00031,2025-12-01,500,258,0.516,4955,0.36
U0000337,A00089,SUB00031,2026-01-01,500,245,0.491,5615,0.84
U0000338,A00089,SUB00031,2026-02-01,500,233,0.466,7193,0.68
U0000339,A00089,SUB00031,2026-03-01,500,220,0.441,7156,0.41
U0000340,A00089,SUB00031,2026-04-01,500,208,0.416,3054,0.53
U0000341,A00089,SUB00031,2026-05-01,500,195,0.391,6237,0.37
U0000342,A00089,SUB00031,2026-06-01,500,183,0.366,3011,0.34
U0000343,A00089,SUB00031,2026-07-01,500,170,0.341,5779,0.86
U0000344,A00089,SUB00031,2026-08-01,500,158,0.316,2198,0.74
U0000345,A00089,SUB00031,2026-09-01,500,145,0.291,3280,0.83
U0000346,A00089,SUB00031,2026-10-01,500,133,0.266,3835,0.33
U0000347,A00089,SUB00031,2026-11-01,500,120,0.241,3350,0.39
U0000348,A00089,SUB00031,2026-12-01,500,108,0.216,2429,0.85
U0000349,A00089,SUB00031,2027-01-01,500,95,0.191,2246,0.8
U0000350,A00091,SUB00032,2025-06-01,100,36,0.363,1216,0.2
U0000351,A00091,SUB00032,2025-07-01,100,33,0.34,714,0.44
U0000352,A00091,SUB00032,2025-08-01,100,40,0.408,890,0.75
U0000353,A00091,SUB00032,2025-09-01,100,38,0.389,909,0.27
U0000354,A00091,SUB00032,2025-10-01,100,35,0.355,916,0.45
U0000355,A00091,SUB00032,2025-11-01,100,33,0.336,305,0.35
U0000356,A00091,SUB00032,2025-12-01,100,39,0.393,1175,0.59
U0000357,A00091,SUB00032,2026-01-01,100,33,0.331,490,0.68
U0000358,A00091,SUB00032,2026-02-01,100,36,0.369,1068,0.85
U0000359,A00091,SUB00032,2026-03-01,100,35,0.354,365,0.84
U0000360,A00091,SUB00032,2026-04-01,100,33,0.338,649,0.65
U0000361,A00091,SUB00032,2026-05-01,100,39,0.392,392,0.84
U0000362,A00094,SUB00033,2025-06-01,250,225,0.9,1883,0.34
U0000363,A00094,SUB00033,2025-07-01,250,191,0.767,4352,0.9
U0000364,A00094,SUB00033,2025-08-01,250,245,0.98,8336,0.22
U0000365,A00094,SUB00033,2025-09-01,250,192,0.771,4849,0.83
U0000366,A00094,SUB00033,2025-10-01,250,208,0.832,2172,0.8
U0000367,A00094,SUB00033,2025-11-01,250,245,0.98,6129,0.38
U0000368,A00094,SUB00033,2025-12-01,250,232,0.93,6214,0.69
U0000369,A00094,SUB00033,2026-01-01,250,154,0.618,3746,0.62
U0000370,A00094,SUB00033,2026-02-01,250,168,0.675,4745,0.81
U0000371,A00094,SUB00033,2026-03-01,250,240,0.96,2865,0.34
U0000372,A00094,SUB00033,2026-04-01,250,197,0.789,3088,0.33
U0000373,A00094,SUB00033,2026-05-01,250,245,0.98,4918,0.41
U0000374,A00095,SUB00034,2025-06-01,10,4,0.45,118,0.72
U0000375,A00099,SUB00035,2025-11-01,50,35,0.715,432,0.63
U0000376,A00099,SUB00035,2025-12-01,50,36,0.73,472,0.22
U0000377,A00099,SUB00035,2026-01-01,50,37,0.745,994,0.4
U0000378,A00099,SUB00035,2026-02-01,50,38,0.76,966,0.76
U0000379,A00099,SUB00035,2026-03-01,50,38,0.775,982,0.81
U0000380,A00099,SUB00035,2026-04-01,50,39,0.79,790,0.23
U0000381,A00099,SUB00035,2026-05-01,50,40,0.805,541,0.5
U0000382,A00101,SUB00036,2025-06-01,250,156,0.625,3457,0.83
