ActivityId,OppId,ActivityType,ActivityDate,OwnerId,DurationMin
AC0000075,O000012,Email,2023-10-20,U006,15
AC0000076,O000012,Email,2023-10-26,U006,15
AC0000077,O000012,Proposal Sent,2023-10-17,U006,30
AC0000078,O000012,Email,2023-11-28,U006,15
AC0000079,O000013,Call,2024-11-04,U006,30
AC0000080,O000013,Proposal Sent,2025-02-11,U006,60
AC0000081,O000013,Demo,2025-01-13,U006,45
AC0000082,O000013,Proposal Sent,2024-11-21,U006,30
AC0000083,O000013,Proposal Sent,2025-01-30,U006,60
AC0000084,O000013,Demo,2025-02-20,U006,45
AC0000085,O000013,Meeting,2025-03-04,U006,45
AC0000086,O000013,Proposal Sent,2024-11-11,U006,30
AC0000087,O000014,Meeting,2026-07-08,U006,30
AC0000088,O000014,Demo,2026-06-18,U006,60
AC0000089,O000014,Demo,2026-07-05,U006,45
AC0000090,O000014,Call,2026-06-18,U006,60
AC0000091,O000014,Meeting,2026-04-30,U006,15
AC0000092,O000015,Demo,2025-06-08,U006,45
AC0000093,O000015,Demo,2025-05-21,U006,30
AC0000094,O000015,Demo,2025-05-26,U006,30
AC0000095,O000015,Call,2025-05-21,U006,60
AC0000096,O000015,Meeting,2025-05-31,U006,30
AC0000097,O000015,Call,2025-06-02,U006,45
AC0000098,O000015,Meeting,2025-05-18,U006,45
AC0000099,O000015,Meeting,2025-05-31,U006,15
AC0000100,O000016,Meeting,2023-04-28,U002,45
AC0000101,O000016,Demo,2023-05-21,U002,15
AC0000102,O000016,Meeting,2023-05-13,U002,15
AC0000103,O000016,Proposal Sent,2023-06-17,U002,15
AC0000104,O000016,Demo,2023-06-03,U002,60
AC0000105,O000016,Demo,2023-05-07,U002,60
AC0000106,O000016,Proposal Sent,2023-06-16,U002,15
AC0000107,O000016,Call,2023-05-19,U002,15
AC0000108,O000016,Proposal Sent,2023-06-22,U002,30
AC0000109,O000016,Email,2023-06-20,U002,30
AC0000110,O000016,Call,2023-05-22,U002,15
AC0000111,O000016,Call,2023-05-24,U002,15
AC0000112,O000017,Call,2024-01-04,U006,45
AC0000113,O000017,Email,2024-01-18,U006,15
AC0000114,O000017,Meeting,2024-01-21,U006,45
AC0000115,O000017,Email,2024-01-10,U006,45
AC0000116,O000017,Proposal Sent,2023-10-28,U006,60
AC0000117,O000017,Demo,2024-01-20,U006,15
AC0000118,O000017,Call,2023-11-20,U006,30
AC0000119,O000017,Meeting,2023-11-06,U006,30
AC0000120,O000018,Call,2023-05-17,U006,30
AC0000121,O000018,Proposal Sent,2023-06-20,U006,30
AC0000122,O000018,Call,2023-05-26,U006,45
AC0000123,O000018,Proposal Sent,2023-06-05,U006,15
AC0000124,O000018,Meeting,2023-07-05,U006,15
AC0000125,O000018,Proposal Sent,2023-07-04,U006,15
AC0000126,O000018,Call,2023-03-31,U006,30
AC0000127,O000018,Call,2023-04-24,U006,45
AC0000128,O000018,Proposal Sent,2023-08-15,U006,15
AC0000129,O000018,Email,2023-03-10,U006,30
AC0000130,O000019,Meeting,2026-04-22,U005,15
AC0000131,O000019,Email,2026-04-03,U005,30
AC0000132,O000019,Email,2026-04-03,U005,15
AC0000133,O000019,Demo,2026-05-24,U005,45
AC0000134,O000019,Email,2026-03-30,U005,30
AC0000135,O000019,Proposal Sent,2026-04-04,U005,60
AC0000136,O000019,Email,2026-03-19,U005,45
AC0000137,O000019,Email,2026-03-17,U005,45
AC0000138,O000019,Meeting,2026-05-23,U005,60
AC0000139,O000019,Meeting,2026-03-06,U005,60
AC0000140,O000019,Meeting,2026-05-08,U005,45
AC0000141,O000019,Meeting,2026-05-16,U005,60
AC0000142,O000019,Email,2026-02-27,U005,60
AC0000143,O000020,Proposal Sent,2025-05-03,U005,30
AC0000144,O000020,Demo,2025-04-05,U005,45
AC0000145,O000020,Email,2025-04-04,U005,45
AC0000146,O000020,Call,2025-04-26,U005,30
AC0000147,O000020,Meeting,2025-03-19,U005,60
AC0000148,O000021,Call,2023-05-20,U005,30
AC0000149,O000021,Demo,2023-05-26,U005,60
AC0000150,O000021,Proposal Sent,2023-07-12,U005,45
AC0000151,O000021,Proposal Sent,2023-07-26,U005,15
AC0000152,O000021,Meeting,2023-05-17,U005,45
AC0000153,O000021,Call,2023-05-31,U005,60
AC0000154,O000021,Demo,2023-07-15,U005,45
AC0000155,O000022,Call,2025-03-11,U005,45
AC0000156,O000022,Meeting,2025-03-05,U005,60
AC0000157,O000022,Proposal Sent,2025-03-11,U005,15
AC0000158,O000022,Demo,2025-06-29,U005,60
AC0000159,O000022,Proposal Sent,2025-06-19,U005,60
AC0000160,O000022,Demo,2025-05-24,U005,30
AC0000161,O000022,Meeting,2025-04-28,U005,45
AC0000162,O000022,Demo,2025-07-15,U005,60
AC0000163,O000022,Meeting,2025-02-02,U005,30
AC0000164,O000022,Proposal Sent,2025-02-19,U005,60
AC0000165,O000022,Demo,2025-04-01,U005,60
AC0000166,O000022,Proposal Sent,2025-01-30,U005,30
AC0000167,O000022,Proposal Sent,2025-03-06,U005,45
AC0000168,O000023,Proposal Sent,2024-02-13,U005,30
AC0000169,O000023,Email,2024-02-22,U005,15
AC0000170,O000023,Call,2024-02-20,U005,30
AC0000171,O000023,Meeting,2024-03-01,U005,60
AC0000172,O000023,Email,2024-03-01,U005,15
AC0000173,O000023,Email,2024-02-13,U005,30
AC0000174,O000023,Meeting,2024-02-20,U005,15
AC0000175,O000023,Email,2024-02-16,U005,30
AC0000176,O000023,Demo,2024-02-06,U005,30
AC0000177,O000023,Email,2024-03-07,U005,45
AC0000178,O000023,Call,2024-03-02,U005,30
AC0000179,O000023,Meeting,2024-02-07,U005,60
AC0000180,O000024,Demo,2024-01-13,U005,30
AC0000181,O000024,Demo,2024-01-12,U005,60
AC0000182,O000024,Demo,2024-01-13,U005,30
AC0000183,O000024,Call,2024-01-03,U005,30
AC0000184,O000024,Meeting,2024-01-15,U005,30
AC0000185,O000024,Demo,2024-01-15,U005,45
AC0000186,O000024,Meeting,2024-01-17,U005,60
AC0000187,O000024,Proposal Sent,2024-01-03,U005,15
AC0000188,O000024,Meeting,2024-01-06,U005,15
AC0000189,O000024,Email,2024-01-19,U005,30
AC0000190,O000024,Email,2024-01-02,U005,45
AC0000191,O000025,Proposal Sent,2024-06-25,U006,60
AC0000192,O000025,Call,2024-09-15,U006,30
AC0000193,O000025,Email,2024-08-27,U006,30
AC0000194,O000025,Call,2024-07-22,U006,45
AC0000195,O000025,Demo,2024-07-06,U006,45
AC0000196,O000025,Demo,2024-09-16,U006,30
AC0000197,O000025,Demo,2024-07-14,U006,45
AC0000198,O000025,Meeting,2024-08-13,U006,60
AC0000199,O000026,Meeting,2024-02-29,U010,30
AC0000200,O000026,Email,2024-02-23,U010,15
AC0000201,O000026,Demo,2023-12-05,U010,45
AC0000202,O000027,Call,2024-11-30,U008,60
AC0000203,O000027,Call,2024-09-28,U008,45
AC0000204,O000027,Email,2024-11-20,U008,60
AC0000205,O000027,Demo,2024-09-09,U008,60
AC0000206,O000027,Demo,2024-11-01,U008,15
AC0000207,O000027,Meeting,2024-11-01,U008,45
AC0000208,O000027,Call,2024-11-24,U008,60
AC0000209,O000027,Proposal Sent,2024-10-25,U008,60
AC0000210,O000027,Meeting,2024-12-25,U008,45
AC0000211,O000027,Call,2024-12-17,U008,30
AC0000212,O000027,Demo,2024-11-15,U008,60
AC0000213,O000027,Call,2024-09-27,U008,15
AC0000214,O000027,Meeting,2024-12-07,U008,45
AC0000215,O000028,Proposal Sent,2025-02-05,U008,60
AC0000216,O000028,Call,2025-02-07,U008,45
AC0000217,O000028,Call,2024-11-12,U008,60
AC0000218,O000028,Demo,2025-01-13,U008,15
AC0000219,O000028,Proposal Sent,2025-01-14,U008,45
AC0000220,O000028,Demo,2025-01-06,U008,45
AC0000221,O000029,Call,2023-12-27,U001,45
AC0000222,O000029,Email,2023-12-11,U001,45
AC0000223,O000029,Demo,2023-11-24,U001,60
AC0000224,O000029,Meeting,2023-12-12,U001,15
AC0000225,O000029,Proposal Sent,2023-11-30,U001,45
AC0000226,O000029,Call,2023-12-27,U001,60
AC0000227,O000029,Email,2023-12-04,U001,15
AC0000228,O000029,Proposal Sent,2023-11-29,U001,30
AC0000229,O000029,Email,2024-01-02,U001,60
AC0000230,O000029,Demo,2023-12-10,U001,45
AC0000231,O000029,Demo,2024-01-01,U001,30
AC0000232,O000029,Proposal Sent,2023-12-29,U001,60
AC0000233,O000029,Call,2023-11-27,U001,45
AC0000234,O000029,Meeting,2023-11-25,U001,30
AC0000235,O000029,Proposal Sent,2024-01-02,U001,15
AC0000236,O000030,Proposal Sent,2024-06-29,U001,15
AC0000237,O000030,Meeting,2024-06-18,U001,45
AC0000238,O000030,Demo,2024-05-19,U001,15
AC0000239,O000030,Email,2024-07-02,U001,45
AC0000240,O000030,Call,2024-05-23,U001,15
AC0000241,O000030,Email,2024-06-10,U001,45
AC0000242,O000030,Meeting,2024-06-15,U001,30
AC0000243,O000030,Call,2024-05-15,U001,60
AC0000244,O000030,Email,2024-07-04,U001,60
AC0000245,O000031,Email,2025-12-30,U005,15
AC0000246,O000031,Proposal Sent,2026-01-03,U005,30
AC0000247,O000031,Meeting,2025-12-30,U005,15
AC0000248,O000031,Demo,2025-12-28,U005,15
AC0000249,O000031,Demo,2026-01-12,U005,30
AC0000250,O000031,Meeting,2025-12-30,U005,60
AC0000251,O000031,Proposal Sent,2026-01-11,U005,45
AC0000252,O000032,Email,2025-08-27,U011,15
AC0000253,O000032,Meeting,2025-08-26,U011,15
AC0000254,O000032,Proposal Sent,2025-09-12,U011,60
AC0000255,O000032,Proposal Sent,2025-10-16,U011,45
AC0000256,O000033,Demo,2023-04-22,U011,15
AC0000257,O000033,Meeting,2023-04-13,U011,45
AC0000258,O000033,Meeting,2023-04-20,U011,30
AC0000259,O000033,Demo,2023-05-09,U011,60
AC0000260,O000033,Email,2023-04-26,U011,30
AC0000261,O000033,Demo,2023-04-08,U011,60
AC0000262,O000033,Call,2023-05-04,U011,15
AC0000263,O000033,Demo,2023-04-27,U011,45
AC0000264,O000033,Call,2023-04-05,U011,45
AC0000265,O000033,Meeting,2023-04-10,U011,45
AC0000266,O000033,Demo,2023-05-05,U011,60
AC0000267,O000034,Email,2024-10-20,U005,30
AC0000268,O000034,Proposal Sent,2024-09-16,U005,60
AC0000269,O000034,Demo,2024-11-07,U005,15
AC0000270,O000035,Meeting,2025-09-01,U007,30
AC0000271,O000035,Demo,2025-09-07,U007,30
AC0000272,O000035,Demo,2025-07-16,U007,15
AC0000273,O000035,Demo,2025-07-28,U007,30
AC0000274,O000035,Call,2025-08-07,U007,30
AC0000275,O000035,Email,2025-08-21,U007,60
AC0000276,O000035,Meeting,2025-07-28,U007,60
AC0000277,O000035,Proposal Sent,2025-08-05,U007,45
AC0000278,O000035,Meeting,2025-07-14,U007,45
AC0000279,O000035,Proposal Sent,2025-09-07,U007,60
AC0000280,O000035,Email,2025-08-21,U007,60
AC0000281,O000035,Demo,2025-08-06,U007,60
AC0000282,O000035,Email,2025-07-23,U007,60
AC0000283,O000035,Meeting,2025-07-01,U007,45
AC0000284,O000035,Demo,2025-07-23,U007,15
AC0000285,O000036,Proposal Sent,2026-03-05,U007,60
AC0000286,O000036,Demo,2026-01-05,U007,15
AC0000287,O000036,Proposal Sent,2026-01-14,U007,30
AC0000288,O000036,Proposal Sent,2026-03-26,U007,15
AC0000289,O000036,Proposal Sent,2026-04-13,U007,60
AC0000290,O000036,Call,2026-02-09,U007,30
AC0000291,O000036,Email,2026-04-12,U007,60
AC0000292,O000036,Call,2026-02-20,U007,15
AC0000293,O000036,Proposal Sent,2026-02-25,U007,30
AC0000294,O000037,Demo,2023-03-04,U007,30
AC0000295,O000037,Email,2023-03-17,U007,30
AC0000296,O000037,Meeting,2023-02-01,U007,45
AC0000297,O000037,Call,2023-01-19,U007,30
AC0000298,O000037,Proposal Sent,2023-03-16,U007,60
AC0000299,O000038,Proposal Sent,2024-06-18,U008,30
AC0000300,O000038,Email,2024-06-23,U008,15
AC0000301,O000038,Proposal Sent,2024-05-20,U008,30
AC0000302,O000038,Email,2024-06-23,U008,15
AC0000303,O000038,Call,2024-03-05,U008,60
AC0000304,O000038,Proposal Sent,2024-06-25,U008,60
AC0000305,O000039,Demo,2023-11-19,U008,15
AC0000306,O000039,Proposal Sent,2023-12-01,U008,15
AC0000307,O000039,Demo,2023-11-26,U008,15
AC0000308,O000039,Meeting,2023-12-06,U008,60
AC0000309,O000040,Call,2023-09-01,U008,60
AC0000310,O000040,Proposal Sent,2023-11-08,U008,60
AC0000311,O000040,Demo,2023-07-01,U008,15
AC0000312,O000040,Email,2023-08-06,U008,15
AC0000313,O000040,Email,2023-09-01,U008,60
AC0000314,O000040,Meeting,2023-07-06,U008,30
AC0000315,O000040,Demo,2023-07-23,U008,45
AC0000316,O000040,Call,2023-08-23,U008,15
AC0000317,O000040,Demo,2023-10-03,U008,30
AC0000318,O000040,Meeting,2023-08-26,U008,45
AC0000319,O000040,Demo,2023-08-23,U008,60
AC0000320,O000040,Meeting,2023-10-23,U008,45
AC0000321,O000040,Proposal Sent,2023-06-09,U008,30
AC0000322,O000040,Email,2023-10-11,U008,45
AC0000323,O000041,Email,2024-07-14,U011,45
AC0000324,O000041,Meeting,2024-06-28,U011,30
AC0000325,O000041,Proposal Sent,2024-06-28,U011,60
AC0000326,O000042,Demo,2024-12-23,U011,30
AC0000327,O000042,Email,2024-11-15,U011,45
AC0000328,O000042,Demo,2024-12-13,U011,30
AC0000329,O000042,Call,2024-12-02,U011,45
AC0000330,O000042,Email,2025-03-07,U011,15
AC0000331,O000042,Meeting,2025-01-10,U011,60
AC0000332,O000042,Demo,2024-11-21,U011,45
AC0000333,O000042,Email,2025-03-08,U011,45
AC0000334,O000042,Proposal Sent,2025-01-12,U011,60
AC0000335,O000042,Demo,2024-11-21,U011,60
AC0000336,O000042,Email,2025-02-09,U011,60
AC0000337,O000042,Call,2024-10-25,U011,45
AC0000338,O000042,Email,2024-12-27,U011,30
AC0000339,O000042,Email,2024-11-16,U011,45
AC0000340,O000043,Call,2023-05-22,U002,45
AC0000341,O000043,Demo,2023-06-08,U002,15
AC0000342,O000043,Proposal Sent,2023-05-24,U002,30
AC0000343,O000043,Meeting,2023-05-12,U002,60
AC0000344,O000043,Call,2023-05-31,U002,15
AC0000345,O000043,Meeting,2023-06-14,U002,15
AC0000346,O000043,Call,2023-06-07,U002,30
AC0000347,O000043,Email,2023-05-26,U002,30
AC0000348,O000043,Email,2023-05-24,U002,60
AC0000349,O000043,Email,2023-05-12,U002,45
AC0000350,O000043,Proposal Sent,2023-05-27,U002,15
AC0000351,O000043,Email,2023-05-14,U002,30
AC0000352,O000044,Meeting,2025-11-02,U002,30
AC0000353,O000044,Email,2025-11-26,U002,60
AC0000354,O000044,Demo,2025-11-07,U002,15
AC0000355,O000044,Meeting,2026-01-15,U002,15
AC0000356,O000044,Email,2025-12-26,U002,15
AC0000357,O000044,Demo,2025-11-05,U002,60
AC0000358,O000044,Email,2025-11-07,U002,30
AC0000359,O000044,Proposal Sent,2025-12-27,U002,45
AC0000360,O000044,Proposal Sent,2025-10-27,U002,60
AC0000361,O000044,Call,2026-01-26,U002,60
AC0000362,O000044,Email,2026-01-09,U002,60
AC0000363,O000045,Meeting,2025-07-09,U005,60
AC0000364,O000045,Proposal Sent,2025-06-23,U005,60
AC0000365,O000045,Email,2025-06-25,U005,60
AC0000366,O000046,Meeting,2024-06-10,U005,45
AC0000367,O000046,Proposal Sent,2024-05-28,U005,45
AC0000368,O000046,Meeting,2024-08-16,U005,45
AC0000369,O000046,Demo,2024-04-23,U005,30
AC0000370,O000046,Demo,2024-03-27,U005,45
AC0000371,O000046,Proposal Sent,2024-07-24,U005,60
AC0000372,O000046,Email,2024-05-10,U005,15
AC0000373,O000046,Demo,2024-06-11,U005,15
AC0000374,O000046,Demo,2024-06-21,U005,30
AC0000375,O000046,Email,2024-04-22,U005,30
AC0000376,O000046,Email,2024-06-12,U005,45
AC0000377,O000047,Proposal Sent,2023-12-22,U008,15
AC0000378,O000047,Meeting,2024-01-09,U008,30
AC0000379,O000047,Proposal Sent,2024-01-17,U008,30
AC0000380,O000047,Meeting,2023-11-12,U008,30
AC0000381,O000047,Demo,2024-01-31,U008,30
AC0000382,O000047,Email,2024-01-09,U008,30
AC0000383,O000047,Meeting,2023-12-28,U008,60
AC0000384,O000047,Proposal Sent,2024-01-31,U008,60
AC0000385,O000048,Meeting,2026-02-14,U008,45
AC0000386,O000048,Demo,2026-03-08,U008,45
AC0000387,O000048,Meeting,2026-02-11,U008,45
AC0000388,O000048,Meeting,2026-03-02,U008,45
AC0000389,O000048,Meeting,2026-02-21,U008,45
AC0000390,O000048,Demo,2026-02-25,U008,60
AC0000391,O000048,Demo,2026-02-07,U008,60
AC0000392,O000048,Call,2026-03-09,U008,60
AC0000393,O000048,Meeting,2026-02-27,U008,30
AC0000394,O000048,Demo,2026-03-03,U008,45
AC0000395,O000048,Call,2026-03-05,U008,30
AC0000396,O000048,Email,2026-02-28,U008,45
AC0000397,O000048,Meeting,2026-03-05,U008,45
AC0000398,O000048,Call,2026-02-17,U008,60
AC0000399,O000048,Demo,2026-02-17,U008,30
AC0000400,O000049,Email,2025-06-05,U008,60
AC0000401,O000049,Meeting,2025-03-31,U008,15
AC0000402,O000049,Email,2025-04-07,U008,45
AC0000403,O000049,Demo,2025-06-18,U008,60
AC0000404,O000049,Call,2025-06-10,U008,60
AC0000405,O000049,Demo,2025-04-18,U008,45
AC0000406,O000049,Proposal Sent,2025-06-01,U008,60
AC0000407,O000049,Call,2025-03-30,U008,15
AC0000408,O000049,Meeting,2025-04-22,U008,45
AC0000409,O000049,Demo,2025-04-23,U008,15
AC0000410,O000049,Demo,2025-04-04,U008,15
AC0000411,O000049,Meeting,2025-06-19,U008,60
AC0000412,O000049,Email,2025-04-06,U008,45
AC0000413,O000049,Proposal Sent,2025-04-12,U008,15
AC0000414,O000049,Demo,2025-04-18,U008,45
AC0000415,O000050,Proposal Sent,2025-02-09,U008,45
AC0000416,O000050,Call,2025-01-09,U008,15
AC0000417,O000050,Meeting,2025-03-07,U008,60
AC0000418,O000050,Email,2025-01-21,U008,45
AC0000419,O000050,Demo,2025-02-01,U008,60
AC0000420,O000050,Meeting,2025-02-28,U008,30
AC0000421,O000050,Meeting,2025-02-08,U008,15
AC0000422,O000050,Email,2025-01-04,U008,60
AC0000423,O000050,Demo,2025-03-16,U008,60
AC0000424,O000050,Call,2025-04-19,U008,15
AC0000425,O000050,Proposal Sent,2025-03-10,U008,15
AC0000426,O000050,Proposal Sent,2025-03-26,U008,15
AC0000427,O000051,Meeting,2024-05-01,U003,60
AC0000428,O000051,Meeting,2024-05-03,U003,45
AC0000429,O000051,Call,2024-05-14,U003,15
AC0000430,O000051,Proposal Sent,2024-04-02,U003,15
AC0000431,O000051,Proposal Sent,2024-04-07,U003,15
AC0000432,O000051,Proposal Sent,2024-04-26,U003,30
AC0000433,O000051,Call,2024-05-16,U003,60
AC0000434,O000051,Meeting,2024-04-26,U003,60
AC0000435,O000051,Email,2024-05-08,U003,45
AC0000436,O000051,Call,2024-04-08,U003,45
AC0000437,O000051,Demo,2024-04-30,U003,60
AC0000438,O000052,Demo,2026-08-01,U010,45
AC0000439,O000052,Call,2026-08-13,U010,60
AC0000440,O000052,Call,2026-03-09,U010,30
AC0000441,O000053,Demo,2023-06-08,U010,45
AC0000442,O000053,Email,2023-07-06,U010,45
AC0000443,O000053,Proposal Sent,2023-06-28,U010,30
AC0000444,O000053,Proposal Sent,2023-06-21,U010,30
AC0000445,O000053,Email,2023-06-08,U010,30
AC0000446,O000053,Meeting,2023-06-10,U010,15
AC0000447,O000053,Call,2023-07-03,U010,15
AC0000448,O000053,Email,2023-07-03,U010,45
AC0000449,O000054,Meeting,2025-11-03,U009,30
AC0000450,O000054,Email,2025-10-19,U009,45
AC0000451,O000054,Email,2025-11-17,U009,45
AC0000452,O000054,Email,2025-10-21,U009,45
AC0000453,O000055,Email,2023-09-12,U009,15
AC0000454,O000055,Demo,2023-05-29,U009,60
AC0000455,O000055,Email,2023-08-28,U009,15
AC0000456,O000056,Demo,2026-06-01,U002,30
AC0000457,O000056,Email,2026-07-18,U002,60
AC0000458,O000056,Proposal Sent,2026-04-26,U002,15
AC0000459,O000056,Email,2026-06-14,U002,15
AC0000460,O000056,Email,2026-07-16,U002,30
AC0000461,O000056,Call,2026-06-12,U002,45
AC0000462,O000056,Meeting,2026-06-03,U002,30
AC0000463,O000056,Email,2026-04-22,U002,45
AC0000464,O000056,Demo,2026-05-13,U002,15
AC0000465,O000056,Demo,2026-04-13,U002,15
AC0000466,O000057,Demo,2024-02-01,U002,15
AC0000467,O000057,Meeting,2024-01-27,U002,45
AC0000468,O000057,Call,2024-02-05,U002,45
AC0000469,O000057,Email,2023-12-22,U002,60
AC0000470,O000057,Demo,2023-12-14,U002,45
AC0000471,O000057,Meeting,2023-12-17,U002,30
AC0000472,O000057,Email,2024-01-03,U002,15
AC0000473,O000057,Email,2024-02-16,U002,30
AC0000474,O000057,Email,2024-02-10,U002,15
AC0000475,O000058,Proposal Sent,2025-02-28,U001,45
AC0000476,O000058,Meeting,2025-04-22,U001,30
AC0000477,O000058,Demo,2025-02-19,U001,30
AC0000478,O000059,Email,2025-03-07,U012,30
AC0000479,O000059,Meeting,2024-10-15,U012,30
AC0000480,O000059,Call,2025-01-22,U012,30
AC0000481,O000059,Meeting,2024-12-29,U012,45
AC0000482,O000059,Meeting,2025-02-23,U012,45
AC0000483,O000059,Call,2024-09-23,U012,45
AC0000484,O000059,Call,2025-01-15,U012,15
AC0000485,O000059,Email,2024-12-30,U012,15
AC0000486,O000059,Proposal Sent,2024-12-22,U012,30
AC0000487,O000059,Email,2024-10-12,U012,15
AC0000488,O000059,Meeting,2024-11-13,U012,15
AC0000489,O000060,Call,2023-11-11,U011,60
AC0000490,O000060,Demo,2024-01-28,U011,60
AC0000491,O000060,Email,2024-03-16,U011,15
AC0000492,O000060,Meeting,2024-02-12,U011,60
AC0000493,O000060,Meeting,2023-11-15,U011,45
AC0000494,O000060,Proposal Sent,2024-01-15,U011,15
AC0000495,O000060,Demo,2024-02-17,U011,30
AC0000496,O000060,Email,2023-12-09,U011,30
AC0000497,O000060,Email,2023-12-10,U011,15
AC0000498,O000061,Call,2023-05-22,U011,45
AC0000499,O000061,Proposal Sent,2023-03-06,U011,30
AC0000500,O000061,Email,2023-04-13,U011,30
AC0000501,O000061,Meeting,2023-05-03,U011,60
AC0000502,O000061,Proposal Sent,2023-06-21,U011,45
AC0000503,O000061,Email,2023-05-02,U011,60
AC0000504,O000061,Meeting,2023-03-17,U011,15
AC0000505,O000061,Demo,2023-07-19,U011,15
AC0000506,O000061,Email,2023-03-26,U011,15
AC0000507,O000061,Email,2023-07-20,U011,15
AC0000508,O000061,Email,2023-03-21,U011,60
AC0000509,O000061,Meeting,2023-02-10,U011,60
AC0000510,O000061,Demo,2023-05-07,U011,30
AC0000511,O000061,Proposal Sent,2023-05-22,U011,60
AC0000512,O000062,Demo,2026-07-11,U011,45
AC0000513,O000062,Proposal Sent,2026-06-18,U011,15
AC0000514,O000062,Meeting,2026-07-15,U011,45
AC0000515,O000062,Meeting,2026-05-16,U011,45
AC0000516,O000062,Meeting,2026-06-24,U011,60
AC0000517,O000062,Call,2026-07-17,U011,45
AC0000518,O000063,Proposal Sent,2026-02-12,U009,15
AC0000519,O000063,Meeting,2026-03-05,U009,15
AC0000520,O000063,Proposal Sent,2026-01-26,U009,15
AC0000521,O000063,Email,2026-03-09,U009,15
AC0000522,O000063,Call,2026-03-21,U009,45
AC0000523,O000063,Email,2026-05-01,U009,45
AC0000524,O000063,Meeting,2026-03-08,U009,60
