OppId,AccountId,OppName,Stage,Amount,Probability,CreatedDate,CloseDate,OwnerId,LossReason
O000021,A00010,Account-00010 - New Logo,01 - Prospecting,48900.0,0.1,2023-04-21,2023-10-16,U005,
O000022,A00011,Account-00011 - Multi-Year,06 - Closed Won,491700.0,1.0,2025-01-23,2025-07-16,U005,
O000023,A00011,Account-00011 - Multi-Year,04 - Proposal,240600.0,0.6,2024-02-01,2024-03-11,U005,
O000024,A00011,Account-00011 - New Logo,06 - Closed Won,201200.0,1.0,2023-12-22,2024-01-21,U005,
O000025,A00012,Account-00012 - Annual,02 - Qualification,80500.0,0.25,2024-06-25,2024-09-18,U006,
O000026,A00013,Account-00013 - Annual,01 - Prospecting,23600.0,0.1,2023-11-14,2024-05-04,U010,
O000027,A00014,Account-00014 - Annual,05 - Negotiation,16500.0,0.8,2024-09-08,2024-12-28,U008,
O000028,A00014,Account-00014 - Annual,06 - Closed Won,24100.0,1.0,2024-10-12,2025-03-14,U008,
O000029,A00015,Account-00015 - Expansion,05 - Negotiation,15700.0,0.8,2023-11-23,2024-01-05,U001,
O000030,A00015,Account-00015 - Expansion,07 - Closed Lost,18300.0,0.0,2024-03-29,2024-07-11,U001,No Decision
O000031,A00016,Account-00016 - Annual,05 - Negotiation,78300.0,0.8,2025-12-22,2026-01-13,U005,
O000032,A00017,Account-00017 - Multi-Year,03 - Needs Analysis,17800.0,0.4,2025-07-01,2025-12-27,U011,
O000033,A00017,Account-00017 - New Logo,06 - Closed Won,11400.0,1.0,2023-03-23,2023-05-11,U011,
O000034,A00018,Account-00018 - Renewal,01 - Prospecting,15300.0,0.1,2024-08-02,2024-11-25,U005,
O000035,A00019,Account-00019 - Expansion,05 - Negotiation,10900.0,0.8,2025-07-01,2025-09-08,U007,
O000036,A00019,Account-00019 - Renewal,02 - Qualification,6900.0,0.25,2025-11-18,2026-04-24,U007,
O000037,A00019,Account-00019 - New Logo,06 - Closed Won,9200.0,1.0,2023-01-16,2023-03-31,U007,
O000038,A00020,Account-00020 - Annual,06 - Closed Won,19100.0,1.0,2024-02-26,2024-07-06,U008,
O000039,A00020,Account-00020 - Annual,01 - Prospecting,19300.0,0.1,2023-11-11,2023-12-10,U008,
O000040,A00020,Account-00020 - Annual,02 - Qualification,20900.0,0.25,2023-05-31,2023-11-09,U008,
O000041,A00021,Account-00021 - New Logo,07 - Closed Lost,63700.0,0.0,2024-04-11,2024-08-24,U011,Timing
O000042,A00021,Account-00021 - Annual,01 - Prospecting,89000.0,0.1,2024-10-09,2025-03-14,U011,
O000043,A00022,Account-00022 - Expansion,06 - Closed Won,80600.0,1.0,2023-05-10,2023-06-17,U002,
O000044,A00022,Account-00022 - Renewal,02 - Qualification,99800.0,0.25,2025-10-26,2026-01-31,U002,
O000045,A00023,Account-00023 - New Logo,04 - Proposal,21400.0,0.6,2025-06-15,2025-07-12,U005,
O000046,A00024,Account-00024 - Expansion,02 - Qualification,62100.0,0.25,2024-03-26,2024-09-01,U005,
O000047,A00025,Account-00025 - Annual,04 - Proposal,22700.0,0.6,2023-10-23,2024-02-15,U008,
O000048,A00025,Account-00025 - Annual,07 - Closed Lost,7800.0,0.0,2026-02-07,2026-03-09,U008,Product Fit
O000049,A00025,Account-00025 - Multi-Year,06 - Closed Won,23900.0,1.0,2025-03-18,2025-06-24,U008,
O000050,A00025,Account-00025 - Multi-Year,03 - Needs Analysis,23100.0,0.4,2024-12-05,2025-05-05,U008,
O000051,A00026,Account-00026 - Multi-Year,06 - Closed Won,291900.0,1.0,2024-03-28,2024-05-16,U003,
O000052,A00027,Account-00027 - New Logo,07 - Closed Lost,698900.0,0.0,2026-03-07,2026-08-14,U010,Product Fit
O000053,A00027,Account-00027 - Multi-Year,04 - Proposal,165800.0,0.6,2023-05-30,2023-07-14,U010,
O000054,A00028,Account-00028 - Annual,07 - Closed Lost,12100.0,0.0,2025-09-24,2025-12-13,U009,No Decision
O000055,A00028,Account-00028 - Expansion,07 - Closed Lost,11400.0,0.0,2023-05-23,2023-10-05,U009,Product Fit
O000056,A00029,Account-00029 - New Logo,03 - Needs Analysis,78900.0,0.4,2026-04-11,2026-07-20,U002,
O000057,A00029,Account-00029 - New Logo,01 - Prospecting,48400.0,0.1,2023-12-12,2024-02-26,U002,
O000058,A00030,Account-00030 - New Logo,02 - Qualification,618400.0,0.25,2025-01-06,2025-05-28,U001,
O000059,A00031,Account-00031 - Annual,05 - Negotiation,194000.0,0.8,2024-09-17,2025-03-11,U012,
O000060,A00032,Account-00032 - Annual,07 - Closed Lost,43700.0,0.0,2023-10-14,2024-04-11,U011,Price
O000061,A00032,Account-00032 - Renewal,07 - Closed Lost,85000.0,0.0,2023-02-08,2023-07-26,U011,Timing
O000062,A00032,Account-00032 - Renewal,03 - Needs Analysis,28500.0,0.4,2026-04-23,2026-07-18,U011,
O000063,A00033,Account-00033 - New Logo,05 - Negotiation,647100.0,0.8,2026-01-10,2026-05-03,U009,
O000064,A00033,Account-00033 - Multi-Year,07 - Closed Lost,520900.0,0.0,2024-04-02,2024-07-05,U009,Timing
O000065,A00033,Account-00033 - Annual,06 - Closed Won,389800.0,1.0,2025-10-23,2026-03-20,U009,
O000066,A00034,Account-00034 - Multi-Year,06 - Closed Won,215500.0,1.0,2023-12-06,2024-02-04,U007,
O000067,A00034,Account-00034 - New Logo,07 - Closed Lost,568400.0,0.0,2026-03-05,2026-05-01,U007,No Decision
O000068,A00035,Account-00035 - Annual,03 - Needs Analysis,10300.0,0.4,2025-09-25,2025-12-13,U004,
O000069,A00036,Account-00036 - New Logo,07 - Closed Lost,12200.0,0.0,2025-11-26,2026-04-15,U009,Price
O000070,A00036,Account-00036 - Expansion,07 - Closed Lost,11500.0,0.0,2023-03-23,2023-08-23,U009,No Decision
O000071,A00037,Account-00037 - Renewal,03 - Needs Analysis,87100.0,0.4,2026-03-13,2026-07-04,U012,
O000072,A00037,Account-00037 - Renewal,06 - Closed Won,60800.0,1.0,2023-06-09,2023-08-25,U012,
O000073,A00038,Account-00038 - Annual,05 - Negotiation,14600.0,0.8,2024-12-07,2025-05-30,U002,
O000074,A00039,Account-00039 - Expansion,05 - Negotiation,9600.0,0.8,2023-10-12,2024-03-11,U009,
O000075,A00039,Account-00039 - Annual,03 - Needs Analysis,8100.0,0.4,2024-03-09,2024-08-30,U009,
O000076,A00040,Account-00040 - New Logo,07 - Closed Lost,93400.0,0.0,2025-04-29,2025-09-19,U008,Timing
O000077,A00040,Account-00040 - Annual,06 - Closed Won,86500.0,1.0,2024-03-07,2024-07-10,U008,
O000078,A00041,Account-00041 - Annual,06 - Closed Won,8200.0,1.0,2023-09-19,2024-02-17,U006,
O000079,A00042,Account-00042 - Renewal,02 - Qualification,10200.0,0.25,2023-10-28,2024-01-02,U001,
O000080,A00042,Account-00042 - Expansion,06 - Closed Won,16300.0,1.0,2025-04-10,2025-05-04,U001,
O000081,A00042,Account-00042 - New Logo,03 - Needs Analysis,17100.0,0.4,2023-06-25,2023-11-12,U001,
O000082,A00043,Account-00043 - Renewal,06 - Closed Won,100500.0,1.0,2025-04-21,2025-06-26,U004,
O000083,A00044,Account-00044 - Renewal,03 - Needs Analysis,18700.0,0.4,2024-06-25,2024-11-08,U003,
O000084,A00044,Account-00044 - Annual,02 - Qualification,12600.0,0.25,2026-04-24,2026-06-16,U003,
O000085,A00045,Account-00045 - Multi-Year,07 - Closed Lost,15100.0,0.0,2025-12-06,2026-04-12,U009,Product Fit
O000086,A00046,Account-00046 - Renewal,07 - Closed Lost,17000.0,0.0,2025-09-01,2026-02-04,U004,Price
O000087,A00047,Account-00047 - New Logo,07 - Closed Lost,15800.0,0.0,2023-09-24,2023-10-14,U007,Product Fit
O000088,A00048,Account-00048 - New Logo,06 - Closed Won,13600.0,1.0,2023-03-30,2023-08-20,U005,
O000089,A00049,Account-00049 - Multi-Year,02 - Qualification,7700.0,0.25,2026-03-25,2026-08-14,U004,
O000090,A00050,Account-00050 - Expansion,04 - Proposal,22500.0,0.6,2023-06-21,2023-10-23,U012,
O000091,A00050,Account-00050 - Renewal,01 - Prospecting,19900.0,0.1,2024-01-23,2024-02-13,U012,
O000092,A00050,Account-00050 - Expansion,02 - Qualification,5100.0,0.25,2025-12-06,2026-02-16,U012,
O000093,A00051,Account-00051 - Expansion,03 - Needs Analysis,86900.0,0.4,2023-08-07,2023-10-30,U010,
O000094,A00052,Account-00052 - Multi-Year,06 - Closed Won,17200.0,1.0,2025-05-17,2025-09-15,U009,
O000095,A00052,Account-00052 - Expansion,06 - Closed Won,16200.0,1.0,2025-04-26,2025-06-30,U009,
O000096,A00052,Account-00052 - Renewal,06 - Closed Won,10100.0,1.0,2026-02-19,2026-05-28,U009,
O000097,A00053,Account-00053 - Multi-Year,06 - Closed Won,701400.0,1.0,2025-03-26,2025-05-15,U002,
O000098,A00054,Account-00054 - Renewal,02 - Qualification,15200.0,0.25,2023-11-28,2024-03-13,U010,
O000099,A00055,Account-00055 - Annual,03 - Needs Analysis,116600.0,0.4,2023-04-17,2023-05-08,U010,
O000100,A00055,Account-00055 - Annual,05 - Negotiation,82000.0,0.8,2023-10-25,2023-12-06,U010,
O000101,A00056,Account-00056 - New Logo,02 - Qualification,5800.0,0.25,2025-01-29,2025-05-27,U011,
O000102,A00057,Account-00057 - Multi-Year,04 - Proposal,24300.0,0.6,2025-12-03,2026-01-06,U011,
O000103,A00057,Account-00057 - Expansion,05 - Negotiation,9000.0,0.8,2025-10-09,2026-03-10,U011,
O000104,A00058,Account-00058 - Annual,06 - Closed Won,9600.0,1.0,2025-11-11,2026-01-13,U008,
O000105,A00059,Account-00059 - New Logo,07 - Closed Lost,6700.0,0.0,2023-01-01,2023-04-01,U005,No Decision
O000106,A00060,Account-00060 - Annual,06 - Closed Won,472100.0,1.0,2025-04-10,2025-05-17,U006,
O000107,A00060,Account-00060 - Expansion,04 - Proposal,684200.0,0.6,2026-01-30,2026-07-18,U006,
O000108,A00061,Account-00061 - New Logo,03 - Needs Analysis,24300.0,0.4,2024-07-20,2024-12-03,U011,
O000109,A00062,Account-00062 - Annual,03 - Needs Analysis,15100.0,0.4,2024-06-18,2024-11-28,U003,
O000110,A00062,Account-00062 - Expansion,04 - Proposal,23900.0,0.6,2025-10-27,2026-03-27,U003,
O000111,A00063,Account-00063 - Renewal,04 - Proposal,13900.0,0.6,2026-03-23,2026-07-17,U003,
O000112,A00063,Account-00063 - New Logo,06 - Closed Won,20100.0,1.0,2025-09-17,2026-02-01,U003,
O000113,A00063,Account-00063 - Annual,07 - Closed Lost,14600.0,0.0,2026-04-16,2026-07-11,U003,Timing
O000114,A00064,Account-00064 - New Logo,06 - Closed Won,9600.0,1.0,2024-03-27,2024-07-05,U004,
O000115,A00064,Account-00064 - Multi-Year,06 - Closed Won,5200.0,1.0,2024-12-24,2025-03-21,U004,
O000116,A00065,Account-00065 - Renewal,06 - Closed Won,21400.0,1.0,2025-03-28,2025-05-06,U002,
O000117,A00066,Account-00066 - Expansion,04 - Proposal,45800.0,0.6,2025-09-02,2026-02-15,U006,
O000118,A00066,Account-00066 - New Logo,07 - Closed Lost,89900.0,0.0,2024-01-10,2024-03-18,U006,Competitor
O000119,A00066,Account-00066 - Multi-Year,06 - Closed Won,107900.0,1.0,2024-04-25,2024-07-06,U006,
O000120,A00067,Account-00067 - Annual,07 - Closed Lost,58800.0,0.0,2024-05-26,2024-07-12,U012,Price
O000121,A00068,Account-00068 - Annual,06 - Closed Won,97600.0,1.0,2025-10-05,2026-03-12,U001,
O000122,A00068,Account-00068 - Expansion,04 - Proposal,55000.0,0.6,2025-09-14,2026-02-28,U001,
O000123,A00069,Account-00069 - Multi-Year,04 - Proposal,9400.0,0.6,2025-11-12,2026-04-28,U001,
O000124,A00070,Account-00070 - Expansion,05 - Negotiation,76400.0,0.8,2025-05-16,2025-10-11,U003,
O000125,A00071,Account-00071 - New Logo,05 - Negotiation,7400.0,0.8,2023-12-24,2024-05-24,U004,
O000126,A00072,Account-00072 - Annual,01 - Prospecting,45000.0,0.1,2023-01-18,2023-07-05,U007,
O000127,A00073,Account-00073 - New Logo,03 - Needs Analysis,298700.0,0.4,2024-06-15,2024-09-11,U003,
O000128,A00074,Account-00074 - New Logo,04 - Proposal,15000.0,0.6,2024-12-03,2025-02-14,U011,
O000129,A00074,Account-00074 - Multi-Year,04 - Proposal,13000.0,0.6,2025-02-01,2025-06-16,U011,
O000130,A00074,Account-00074 - Annual,02 - Qualification,16500.0,0.25,2026-03-16,2026-06-02,U011,
O000131,A00074,Account-00074 - Multi-Year,07 - Closed Lost,16100.0,0.0,2024-07-06,2024-10-31,U011,Competitor
O000132,A00075,Account-00075 - New Logo,05 - Negotiation,5200.0,0.8,2023-11-03,2024-03-09,U001,
O000133,A00075,Account-00075 - Renewal,07 - Closed Lost,22000.0,0.0,2023-10-03,2024-03-03,U001,No Decision
O000134,A00075,Account-00075 - Annual,04 - Proposal,16200.0,0.6,2025-09-23,2026-03-07,U001,
O000135,A00076,Account-00076 - Annual,02 - Qualification,21300.0,0.25,2023-12-01,2024-04-20,U005,
O000136,A00077,Account-00077 - Expansion,04 - Proposal,12200.0,0.6,2024-11-16,2025-04-27,U006,
O000137,A00078,Account-00078 - Multi-Year,02 - Qualification,709800.0,0.25,2025-04-23,2025-10-15,U011,
O000138,A00079,Account-00079 - Expansion,03 - Needs Analysis,20600.0,0.4,2026-01-07,2026-04-27,U002,
O000139,A00079,Account-00079 - New Logo,05 - Negotiation,19700.0,0.8,2025-11-11,2025-12-21,U002,
O000140,A00080,Account-00080 - Expansion,06 - Closed Won,7900.0,1.0,2025-08-07,2025-10-08,U002,
O000141,A00080,Account-00080 - Annual,06 - Closed Won,16400.0,1.0,2025-05-13,2025-06-20,U002,
O000142,A00081,Account-00081 - Renewal,04 - Proposal,18100.0,0.6,2024-04-12,2024-07-09,U010,
O000143,A00082,Account-00082 - Renewal,07 - Closed Lost,20600.0,0.0,2024-07-09,2024-10-29,U001,Product Fit
O000144,A00082,Account-00082 - Multi-Year,05 - Negotiation,8700.0,0.8,2025-07-11,2025-08-05,U001,
O000145,A00083,Account-00083 - Multi-Year,07 - Closed Lost,19000.0,0.0,2024-05-30,2024-07-09,U007,Competitor
O000146,A00083,Account-00083 - Renewal,02 - Qualification,6300.0,0.25,2025-03-24,2025-08-12,U007,
O000147,A00084,Account-00084 - Expansion,06 - Closed Won,797300.0,1.0,2025-03-24,2025-05-09,U006,
O000148,A00085,Account-00085 - Multi-Year,06 - Closed Won,109100.0,1.0,2023-06-22,2023-09-29,U005,
O000149,A00085,Account-00085 - Multi-Year,06 - Closed Won,67100.0,1.0,2024-05-21,2024-07-12,U005,
O000150,A00086,Account-00086 - New Logo,01 - Prospecting,18300.0,0.1,2023-12-16,2024-03-28,U003,
O000151,A00086,Account-00086 - Renewal,07 - Closed Lost,15800.0,0.0,2025-08-14,2025-11-11,U003,Timing
O000152,A00087,Account-00087 - New Logo,03 - Needs Analysis,17000.0,0.4,2026-01-09,2026-06-22,U010,
O000153,A00088,Account-00088 - Multi-Year,04 - Proposal,11900.0,0.6,2025-12-29,2026-06-05,U005,
O000154,A00088,Account-00088 - Multi-Year,05 - Negotiation,12300.0,0.8,2023-07-03,2023-09-27,U005,
O000155,A00089,Account-00089 - Expansion,06 - Closed Won,20200.0,1.0,2023-01-01,2023-02-24,U008,
O000156,A00090,Account-00090 - Expansion,01 - Prospecting,112600.0,0.1,2025-12-31,2026-05-22,U011,
O000157,A00091,Account-00091 - Renewal,06 - Closed Won,16900.0,1.0,2025-05-31,2025-06-21,U004,
O000158,A00092,Account-00092 - Multi-Year,07 - Closed Lost,13700.0,0.0,2025-04-23,2025-07-15,U001,Timing
O000159,A00093,Account-00093 - Renewal,04 - Proposal,13400.0,0.6,2024-03-27,2024-06-16,U002,
O000160,A00093,Account-00093 - New Logo,04 - Proposal,19900.0,0.6,2024-07-10,2024-10-06,U002,
O000161,A00093,Account-00093 - Annual,07 - Closed Lost,8600.0,0.0,2024-01-21,2024-04-24,U002,Timing
O000162,A00094,Account-00094 - Annual,06 - Closed Won,14800.0,1.0,2024-07-11,2024-10-21,U008,
O000163,A00094,Account-00094 - Annual,01 - Prospecting,15700.0,0.1,2023-11-08,2024-01-14,U008,
O000164,A00095,Account-00095 - Annual,06 - Closed Won,19500.0,1.0,2023-09-14,2023-12-02,U007,
O000165,A00096,Account-00096 - Expansion,03 - Needs Analysis,13400.0,0.4,2025-10-07,2026-03-03,U009,
O000166,A00097,Account-00097 - Annual,04 - Proposal,693600.0,0.6,2023-03-06,2023-05-02,U003,
O000167,A00098,Account-00098 - Expansion,02 - Qualification,69700.0,0.25,2025-03-14,2025-05-22,U010,
O000168,A00099,Account-00099 - New Logo,02 - Qualification,20400.0,0.25,2023-01-26,2023-04-19,U012,
O000169,A00099,Account-00099 - New Logo,03 - Needs Analysis,24900.0,0.4,2025-06-26,2025-09-04,U012,
O000170,A00099,Account-00099 - New Logo,06 - Closed Won,24600.0,1.0,2023-07-12,2023-11-30,U012,
O000171,A00100,Account-00100 - Renewal,07 - Closed Lost,8200.0,0.0,2024-10-01,2024-10-31,U009,Product Fit
O000172,A00100,Account-00100 - Expansion,04 - Proposal,17800.0,0.6,2023-09-08,2023-11-17,U009,
O000173,A00101,Account-00101 - Expansion,07 - Closed Lost,47400.0,0.0,2024-03-22,2024-07-31,U002,Price
O000174,A00101,Account-00101 - Multi-Year,06 - Closed Won,80500.0,1.0,2023-12-09,2024-04-08,U002,
O000175,A00101,Account-00101 - Renewal,07 - Closed Lost,80200.0,0.0,2023-01-19,2023-06-09,U002,Competitor
O000176,A00102,Account-00102 - Expansion,03 - Needs Analysis,15000.0,0.4,2023-07-03,2023-12-28,U009,
O000177,A00103,Account-00103 - Annual,02 - Qualification,17900.0,0.25,2023-05-03,2023-10-07,U012,
O000178,A00103,Account-00103 - Expansion,05 - Negotiation,11300.0,0.8,2023-09-15,2024-02-24,U012,
O000179,A00103,Account-00103 - Expansion,06 - Closed Won,5400.0,1.0,2025-06-17,2025-10-11,U012,
O000180,A00104,Account-00104 - Renewal,07 - Closed Lost,71100.0,0.0,2024-05-28,2024-10-07,U007,No Decision
O000181,A00104,Account-00104 - Renewal,06 - Closed Won,43000.0,1.0,2026-01-16,2026-03-24,U007,
O000182,A00105,Account-00105 - Multi-Year,04 - Proposal,21600.0,0.6,2025-08-17,2026-01-25,U004,
O000183,A00106,Account-00106 - Expansion,05 - Negotiation,21400.0,0.8,2023-11-14,2024-04-20,U007,
O000184,A00107,Account-00107 - Renewal,04 - Proposal,8700.0,0.6,2025-11-02,2025-11-26,U007,
O000185,A00108,Account-00108 - New Logo,04 - Proposal,6300.0,0.6,2024-05-04,2024-10-08,U004,
O000186,A00108,Account-00108 - Multi-Year,06 - Closed Won,15000.0,1.0,2024-01-24,2024-07-03,U004,
O000187,A00108,Account-00108 - Annual,04 - Proposal,17800.0,0.6,2024-08-02,2024-09-19,U004,
O000188,A00109,Account-00109 - Annual,01 - Prospecting,23800.0,0.1,2023-05-17,2023-07-21,U006,
O000189,A00109,Account-00109 - Renewal,02 - Qualification,8800.0,0.25,2024-02-18,2024-03-17,U006,
O000190,A00110,Account-00110 - Expansion,06 - Closed Won,75000.0,1.0,2025-03-06,2025-08-24,U010,
O000191,A00110,Account-00110 - Annual,04 - Proposal,82600.0,0.6,2023-04-11,2023-05-19,U010,
O000192,A00111,Account-00111 - New Logo,06 - Closed Won,23600.0,1.0,2024-03-03,2024-04-12,U010,
O000193,A00111,Account-00111 - Expansion,04 - Proposal,19900.0,0.6,2023-05-05,2023-09-08,U010,
O000194,A00111,Account-00111 - Annual,07 - Closed Lost,10300.0,0.0,2023-04-30,2023-05-30,U010,No Decision
O000195,A00112,Account-00112 - Renewal,07 - Closed Lost,6900.0,0.0,2024-03-18,2024-06-05,U008,Timing
O000196,A00113,Account-00113 - Renewal,06 - Closed Won,16400.0,1.0,2025-12-13,2026-02-16,U004,
O000197,A00114,Account-00114 - Expansion,06 - Closed Won,20300.0,1.0,2025-04-30,2025-10-14,U007,
O000198,A00114,Account-00114 - Multi-Year,06 - Closed Won,13500.0,1.0,2025-07-28,2025-09-12,U007,
O000199,A00115,Account-00115 - Renewal,05 - Negotiation,57100.0,0.8,2026-01-31,2026-04-01,U012,
O000200,A00115,Account-00115 - Expansion,07 - Closed Lost,110700.0,0.0,2025-06-26,2025-12-03,U012,No Decision
O000201,A00116,Account-00116 - Renewal,07 - Closed Lost,339900.0,0.0,2025-05-31,2025-08-20,U011,Product Fit
O000202,A00117,Account-00117 - New Logo,07 - Closed Lost,49100.0,0.0,2026-01-31,2026-06-15,U004,Timing
O000203,A00118,Account-00118 - Multi-Year,07 - Closed Lost,81600.0,0.0,2023-03-12,2023-08-11,U003,No Decision
O000204,A00119,Account-00119 - Renewal,03 - Needs Analysis,54900.0,0.4,2024-03-30,2024-06-28,U012,
O000205,A00120,Account-00120 - New Logo,07 - Closed Lost,39700.0,0.0,2026-03-14,2026-04-12,U010,No Decision
O000206,A00120,Account-00120 - Multi-Year,02 - Qualification,59900.0,0.25,2023-11-16,2024-05-03,U010,
O000207,A00121,Account-00121 - Annual,02 - Qualification,63000.0,0.25,2024-09-07,2024-11-21,U002,
O000208,A00122,Account-00122 - Annual,03 - Needs Analysis,681500.0,0.4,2025-09-15,2026-03-01,U012,
O000209,A00122,Account-00122 - Annual,01 - Prospecting,669700.0,0.1,2024-09-07,2025-01-02,U012,
O000210,A00123,Account-00123 - Annual,04 - Proposal,21300.0,0.6,2024-11-15,2025-03-21,U012,
O000211,A00123,Account-00123 - New Logo,06 - Closed Won,22000.0,1.0,2024-04-09,2024-05-01,U012,
O000212,A00124,Account-00124 - Expansion,01 - Prospecting,487200.0,0.1,2025-12-09,2026-02-05,U001,
O000213,A00125,Account-00125 - New Logo,03 - Needs Analysis,18500.0,0.4,2024-03-28,2024-07-26,U009,
O000214,A00125,Account-00125 - New Logo,06 - Closed Won,9400.0,1.0,2026-03-24,2026-06-26,U009,
O000215,A00126,Account-00126 - Renewal,02 - Qualification,16400.0,0.25,2024-11-19,2024-12-21,U002,
O000216,A00127,Account-00127 - Multi-Year,04 - Proposal,415500.0,0.6,2023-06-24,2023-08-16,U007,
O000217,A00128,Account-00128 - Renewal,05 - Negotiation,87000.0,0.8,2024-02-10,2024-04-20,U009,
O000218,A00129,Account-00129 - Expansion,03 - Needs Analysis,6400.0,0.4,2025-12-09,2026-04-18,U004,
O000219,A00129,Account-00129 - Expansion,02 - Qualification,18400.0,0.25,2026-03-25,2026-07-31,U004,
O000220,A00130,Account-00130 - Multi-Year,04 - Proposal,18100.0,0.6,2024-10-18,2025-01-24,U008,
O000221,A00131,Account-00131 - Multi-Year,06 - Closed Won,13800.0,1.0,2025-06-24,2025-09-11,U003,
O000222,A00131,Account-00131 - Annual,03 - Needs Analysis,19600.0,0.4,2025-02-04,2025-03-17,U003,
O000223,A00131,Account-00131 - Expansion,03 - Needs Analysis,17400.0,0.4,2023-04-22,2023-06-18,U003,
O000224,A00131,Account-00131 - New Logo,04 - Proposal,21100.0,0.6,2023-01-29,2023-05-07,U003,
O000225,A00132,Account-00132 - Renewal,03 - Needs Analysis,15800.0,0.4,2024-11-10,2025-01-21,U005,
O000226,A00133,Account-00133 - Annual,06 - Closed Won,84200.0,1.0,2024-06-13,2024-08-08,U004,
O000227,A00133,Account-00133 - Expansion,06 - Closed Won,88000.0,1.0,2025-02-10,2025-03-13,U004,
O000228,A00134,Account-00134 - Annual,03 - Needs Analysis,18900.0,0.4,2024-08-04,2024-11-01,U011,
O000229,A00135,Account-00135 - Annual,02 - Qualification,18200.0,0.25,2023-01-18,2023-05-10,U005,
O000230,A00136,Account-00136 - Expansion,03 - Needs Analysis,12600.0,0.4,2025-03-02,2025-04-16,U011,
O000231,A00137,Account-00137 - Renewal,02 - Qualification,9000.0,0.25,2025-12-24,2026-05-10,U012,
O000232,A00138,Account-00138 - Expansion,01 - Prospecting,23400.0,0.1,2023-02-14,2023-05-23,U005,
O000233,A00138,Account-00138 - Expansion,04 - Proposal,8100.0,0.6,2025-09-30,2026-01-16,U005,
O000234,A00138,Account-00138 - Expansion,06 - Closed Won,9700.0,1.0,2024-12-28,2025-05-25,U005,
O000235,A00139,Account-00139 - Renewal,07 - Closed Lost,22800.0,0.0,2024-06-11,2024-07-08,U002,No Decision
O000236,A00139,Account-00139 - Annual,03 - Needs Analysis,22900.0,0.4,2024-04-06,2024-05-31,U002,
O000237,A00139,Account-00139 - Multi-Year,06 - Closed Won,18600.0,1.0,2025-02-21,2025-08-20,U002,
O000238,A00140,Account-00140 - Expansion,03 - Needs Analysis,24400.0,0.4,2026-03-19,2026-09-09,U012,
O000239,A00141,Account-00141 - Multi-Year,03 - Needs Analysis,38200.0,0.4,2023-09-27,2024-03-03,U005,
O000240,A00142,Account-00142 - New Logo,06 - Closed Won,23000.0,1.0,2024-09-24,2024-11-17,U012,
O000241,A00142,Account-00142 - Expansion,06 - Closed Won,16300.0,1.0,2023-10-25,2023-12-24,U012,
O000242,A00142,Account-00142 - Multi-Year,06 - Closed Won,24000.0,1.0,2023-05-19,2023-07-08,U012,
O000243,A00143,Account-00143 - New Logo,06 - Closed Won,20300.0,1.0,2023-10-26,2024-02-28,U009,
